Código	Nombre Prueba	"Tiempo de Entrega(Días hábiles)"	"Precio (Sin I.V.A.)"	Precio (Con I.V.A.)
194	"Toxoplasma IgM, Anticuerpos"	0	$159.48 	$185.00 
196	Ac. Anti-Treponema pallidum	3	$293.10 	$340.00 
196	"Treponema pallidum, Anticuerpos"	3	$293.10 	$340.00 
197	Ac. Anti-Células Parietales	6	$746.55 	$866.00 
197	"Células Parietales, Anticuerpos"	6	$746.55 	$866.00 
198	Ac. Anti-Antígeno Temprano Epstein Barr (EBV-EA) IgG 	2	$276.72 	$321.00 
198	Ac. Anti-EBV-EA IgG 	2	$276.72 	$321.00 
198	Ac. Anti-Epstein Barr Antígeno Temprano (EBV-EA) IgG 	2	$276.72 	$321.00 
200	"Antiestreptolisinas (ASO, AEL)"	0	$164.66 	$191.00 
201	Antígeno Carbohidrato 125 (Ovario)	0	$221.55 	$257.00 
201	CA-125 (Ovario)	0	$221.55 	$257.00 
201	Marcador tumoral 125 (Ovario)	0	$221.55 	$257.00 
202	Antígeno Carbohidrato 15-3 (Mama)	0	$219.83 	$255.00 
202	CA 15-3 (Mama)	0	$219.83 	$255.00 
202	Marcador Tumoral 15-3 (Mama)	0	$219.83 	$255.00 
203	Antígeno Carbohidrato 19-9 (Páncreas)	0	$253.45 	$294.00 
203	CA 19-9 (Páncreas)	0	$253.45 	$294.00 
203	Marcador Tumoral 19-9 (Páncreas)	0	$253.45 	$294.00 
205	ACE (Antígeno Carcinoembrionario)	0	$163.79 	$190.00 
205	Antígeno Carcinoembrionario (CEA)	0	$163.79 	$190.00 
205	CEA (Antígeno Carcinoembrionario)	0	$163.79 	$190.00 
206	Antígeno Australia (HBsAg)	0	$150.86 	$175.00 
206	Antígeno de Superficie Virus Hepatitis B (HBsAg)	0	$150.86 	$175.00 
206	Antígeno S Virus Hepatitis B (HBsAg)	0	$150.86 	$175.00 
206	HBsAg (Antígeno Australia)	0	$150.86 	$175.00 
208	"Antígeno Específico de Próstata (APE-T, PSA-T) "	0	$132.76 	$154.00 
208	APE-T (Antígeno Específico de Próstata Total) 	0	$132.76 	$154.00 
208	PSA-Total (Antígeno Específico de Próstata Total) 	0	$132.76 	$154.00 
219	Benzodiacepinas en Orina	0	$128.45 	$149.00 
220	Beta 2 Microglobulina	1	$201.72 	$234.00 
225	Bilirrubina Total	0	$49.14 	$57.00 
238	Calcio	0	$42.24 	$49.00 
242	Calcitonina	3	$349.14 	$405.00 
244	Canabinoides (THC) en Orina	0	$134.48 	$156.00 
244	Mariguana (THC) en Orina	0	$134.48 	$156.00 
246	Captación Tiroidea (T-Uptake)	0	$89.66 	$104.00 
246	T-Uptake (Captación Tiroidea)	0	$89.66 	$104.00 
247	Carbamacepina (Tegretol)	0	$281.03 	$326.00 
247	Tegretol (Carbamacepina)	0	$281.03 	$326.00 
250	Catecolaminas Totales	6	$688.79 	$799.00 
269	Cloro	0	$41.38 	$48.00 
279	Cocaína en Orina	0	$137.93 	$160.00 
281	Colesterol Total	0	$32.76 	$38.00 
288	Velocidad de Sedimentación Globular (VSG)	0	$34.48 	$40.00 
289	C3d-IgG (Complejos Inmunes Circulantes)	10	$619.83 	$719.00 
289	Complejos Inmunes Circulantes (C3d IgG)	10	$619.83 	$719.00 
296	CK Total (Creatin Fosfoquinasa)	0	$106.90 	$124.00 
296	Creatin Fosfoquinasa (CK Total)	0	$106.90 	$124.00 
304	Creatinina	0	$24.14 	$28.00 
316	Dehidroepiandrosterona (DHEA)	2	$165.52 	$192.00 
316	DHEA (Dehidroepiandrosterona)	2	$165.52 	$192.00 
317	Dehidroepiandrosterona Sulfato (DHEA-SO4)	0	$164.66 	$191.00 
317	DHEA-SO4 (Dehidroepiandrosterona Sulfato)	0	$164.66 	$191.00 
326	"Creatinina, Depuración de"	0	$73.28 	$85.00 
326	Depuración de Creatinina 	0	$73.28 	$85.00 
330	Deshidrogenasa Láctica (LDH)	0	$50.86 	$59.00 
330	LDH (Deshidrogenasa Láctica)	0	$50.86 	$59.00 
345	"Difenilhidantoina Total (Fenitoína, Epamin, Dilantil, Nuctane)"	0	$235.34 	$273.00 
345	"Epamin (Fenitoína, Difenilhidantoina Total, Dilantil, Nuctane)"	0	$235.34 	$273.00 
345	"Fenitoína (Difenilhidantoina Total, Epamin, Dilantil, Nuctane)"	0	$235.34 	$273.00 
348	Digoxina	0	$223.28 	$259.00 
355	Bióxido de Carbono (CO2)	0	$37.07 	$43.00 
355	CO2 (Dióxido de Carbono)	0	$37.07 	$43.00 
355	Dióxido de Carbono (CO2)	0	$37.07 	$43.00 
370	Estriol (E3) Libre	Favor de comunicarse para solicitar información.		
374	Estrógenos Totales	0	$109.48 	$127.00 
383	Estrona	3	$280.17 	$325.00 
384	Alcohol Etílico	0	$180.17 	$209.00 
384	Etanol (Alcohol Etílico)	0	$180.17 	$209.00 
390	Factor Reumatoide (FR)	0	$98.28 	$114.00 
391	Fenobarbital Total	0	$321.55 	$373.00 
394	Ferritina	0	$136.21 	$158.00 
399	Fosfatasa Ácida Total	0	$56.90 	$66.00 
401	Fosfatasa Ácida Total y Fracción Prostática	0	$212.07 	$246.00 
402	ALP (Fosfatasa Alcalina Total)	0	$39.66 	$46.00 
402	Fosfatasa Alcalina Total (ALP)	0	$39.66 	$46.00 
406	Fosfolípidos	0	$90.52 	$105.00 
408	Fósforo	0	$46.55 	$54.00 
414	"C3, Componente del Complemento"	0	$123.28 	$143.00 
414	Complemento C3	0	$123.28 	$143.00 
414	Fracción 3 del Complemento	0	$123.28 	$143.00 
415	"C4, Componente del Complemento"	0	$176.72 	$205.00 
415	Complemento C4	0	$176.72 	$205.00 
415	Fracción 4 del Complemento	0	$176.72 	$205.00 
423	"Fracción Beta de Gonadotrofina Coriónica Humana (HGC-Beta, Cuantitativa)"	0	$140.52 	$163.00 
423	Fracción Beta de HGC (Cuantitativa)	0	$140.52 	$163.00 
423	HGC Fracción Beta (Cuantitativa)	0	$140.52 	$163.00 
423	"Prueba de Embarazo (HGC-Beta, Cuantitativa)"	0	$140.52 	$163.00 
448	Globulinas Totales	0	$67.24 	$78.00 
452	Glicemia	0	$26.72 	$31.00 
452	Glucosa	0	$26.72 	$31.00 
474	Hierro	0	$50.86 	$59.00 
478	ACTH (Hormona Adrenocorticotrofica)	3	$235.34 	$273.00 
478	Hormona Adrenocorticotrofica (ACTH)	3	$235.34 	$273.00 
481	Hormona del Crecimiento	0	$149.14 	$173.00 
493	FSH (Hormona Estimulante del Folículo) 	0	$91.38 	$106.00 
493	HEF (Hormona Estimulante del Folículo) 	0	$91.38 	$106.00 
493	Hormona Estimulante del Folículo (FSH) 	0	$91.38 	$106.00 
511	HL (Hormona Luteinizante) 	0	$99.14 	$115.00 
511	Hormona Luteinizante (HL) 	0	$99.14 	$115.00 
511	LH (Hormona Luteinizante) 	0	$99.14 	$115.00 
517	Hormona Paratiroidea Intacta (PTH-I)	0	$212.93 	$247.00 
517	Paratohormona (PTH-I)	0	$212.93 	$247.00 
517	PTH-I (Hormona Paratiroidea Intacta) 	0	$212.93 	$247.00 
530	IgA (Inmunoglobulina A)	0	$122.41 	$142.00 
530	Inmunoglobulina A (IgA)	0	$122.41 	$142.00 
538	IgE (Inmunoglobulina E)	0	$115.52 	$134.00 
538	Inmunoglobulina E (IgE)	0	$115.52 	$134.00 
546	IgG (Inmunoglobulina G)	0	$115.52 	$134.00 
546	Inmunoglobulina G (IgG)	0	$115.52 	$134.00 
552	IgM (Inmunoglobulina M)	0	$115.52 	$134.00 
552	Inmunoglobulina M (IgM)	0	$115.52 	$134.00 
559	Insulina Basal	0	$119.83 	$139.00 
573	Lipasa	0	$103.45 	$120.00 
588	Litio	1	$171.55 	$199.00 
590	Magnesio	0	$66.38 	$77.00 
602	Albúmina (Microalbúmina) en Orina de 24 horas	0	$148.28 	$172.00 
602	Microalbúmina en Orina de 24 horas	0	$148.28 	$172.00 
615	Nitrógeno Ureico	0	$26.72 	$31.00 
618	Morfina (Opiáceos) en Orina	0	$162.93 	$189.00 
618	Opiáceos (Morfina) en Orina	0	$162.93 	$189.00 
623	Osteocalcina	8	$472.41 	$548.00 
627	Péptido C	1	$281.90 	$327.00 
658	Mysoline (Primidona)	10	$956.90 	"$1,110.00 "
658	Primidona (Mysoline)	10	$956.90 	"$1,110.00 "
661	Progesterona	0	$92.24 	$107.00 
672	Prolactina	0	$94.83 	$110.00 
680	Proteína C Reactiva (PCR)	0	$106.03 	$123.00 
685	Proteínas Totales	0	$42.24 	$49.00 
689	Renina 	4	$425.00 	$493.00 
692	Biometría Hemática	0	$71.55 	$83.00 
692	Citometría Hemática	0	$71.55 	$83.00 
692	Hemograma	0	$71.55 	$83.00 
701	Sodio	0	$45.69 	$53.00 
712	Factor de Crecimiento Insulinico (Somatomedina C)	3	$307.76 	$357.00 
712	IGF-1 (Somatomedina C)	3	$307.76 	$357.00 
712	Somatomedina C (IGF-1)	3	$307.76 	$357.00 
725	Testosterona Total	0	$96.55 	$112.00 
732	Tiroglobulina	0	$142.24 	$165.00 
734	T4-Total (Tiroxina Total)	0	$93.10 	$108.00 
739	T4-Libre (Tiroxina Libre)	0	$93.10 	$108.00 
742	AST/TGO (Aspartato Amino Transferasa)	0	$48.28 	$56.00 
742	TGO/AST (Transaminasa Glutámico Oxalacética)	0	$48.28 	$56.00 
743	ALT/TGP (Alanin Amino Transferasa)	0	$49.14 	$57.00 
743	TGP/ALT (Transaminasa Glutámico Pirúvica)	0	$49.14 	$57.00 
744	Transferrina	0	$100.86 	$117.00 
745	Triglicéridos	0	$43.97 	$51.00 
749	T3-Total (Triyodotironina Total)	0	$93.10 	$108.00 
750	T3-Libre (Triyodotironina Libre)	0	$93.10 	$108.00 
753	Urea	0	$26.72 	$31.00 
761	Cianocobalamina (Vitamina B-12)	0	$150.86 	$175.00 
761	Vitamina B-12 (Cianocobalamina)	0	$150.86 	$175.00 
772	Yodo Proteico	0	$76.72 	$89.00 
784	Perfil de Lípidos con Electroforesis	5	$468.10 	$543.00 
787	Perfil Ginecológico Intermedio	0	$479.31 	$556.00 
792	Lípidos Totales	0	$67.24 	$78.00 
793	Colesterol de Alta Densidad (HDL-C) 	0	$72.41 	$84.00 
793	HDL-Colesterol	0	$72.41 	$84.00 
794	Colesterol de Baja Densidad (LDL-C) 	0	$74.14 	$86.00 
794	LDL-Colesterol	0	$74.14 	$86.00 
797	Electroforesis de Lipoproteínas	5	$314.66 	$365.00 
797	"Lipoproteínas, Electroforesis de"	5	$314.66 	$365.00 
798	Electroforesis de Proteínas	Favor de comunicarse para solicitar información.		
799	Perfil de Andrógenos Intermedio	2	$634.48 	$736.00 
800	Perfil Bioquímico de 12 Elementos 	0	$222.41 	$258.00 
800	Química Sanguínea de 12 Elementos 	0	$222.41 	$258.00 
805	"Inmunoglobulinas, Perfil de"	0	$406.90 	$472.00 
805	Perfil de Inmunoglobulinas	0	$406.90 	$472.00 
807	"Electrolitos (Na, K, Cl)"	0	$106.03 	$123.00 
809	Perfil Suprarrenal	3	$838.79 	$973.00 
810	Perfil Testicular	0	$346.55 	$402.00 
815	Testosterona Libre	2	$156.90 	$182.00 
821	Índice de Tiroxina Libre	0	$114.66 	$133.00 
825	Antígeno e Virus Hepatitis B (HBeAg)	1	$241.38 	$280.00 
825	HBeAg (Antígeno e Virus Hepatitis B) 	1	$241.38 	$280.00 
828	Ac. Anti-Antígeno Central Virus Hepatitis B (Ac. Anti-HBcAg) Totales	0	$243.10 	$282.00 
828	Ac. Anti-HBcAg Totales	0	$243.10 	$282.00 
829	Bilirrubina Directa	0	$49.14 	$57.00 
830	Bilirrubina Indirecta	0	$49.14 	$57.00 
836	Ac. Anti-Toxoplasma IgG	0	$156.90 	$182.00 
836	"Toxoplasma IgG, Anticuerpos"	0	$156.90 	$182.00 
837	Ac. Anti-Citomegalovirus (CMV) IgM	1	$222.41 	$258.00 
837	"Citomegalovirus (CMV) IgM, Anticuerpos"	1	$222.41 	$258.00 
839	Ac. Anti-Virus Herpes (HSV) Tipo I y II IgM	1	$192.24 	$223.00 
839	"Herpes (HSV) Tipo I y II IgM, Anticuerpos"	1	$192.24 	$223.00 
841	Ac. Anti-Antígeno Central Virus Hepatitis B (Ac. Anti-HBcAg) IgM	0	$271.55 	$315.00 
841	Ac. Anti-HBcAg IgM	0	$271.55 	$315.00 
842	Ac. Anti-Rubeola IgM	0	$184.48 	$214.00 
842	"Rubeola IgM, Anticuerpos"	0	$184.48 	$214.00 
848	Ac. Anti-Insulina	9	$391.38 	$454.00 
848	"Insulina, Anticuerpos"	9	$391.38 	$454.00 
851	Glicohemoglobina (HBA1c)	0	$170.69 	$198.00 
851	HBA1c (Hemoglobina Glicosilada)	0	$170.69 	$198.00 
851	Hemoglobina Glicosilada (HBA1c)	0	$170.69 	$198.00 
852	Ac. Anti-Dengue IgG	0	$300.00 	$348.00 
852	"Dengue Virus, Ac. IgG"	0	$300.00 	$348.00 
852	"Virus del Dengue, Ac. IgG"	0	$300.00 	$348.00 
853	Ac. Anti-Dengue IgM	0	$300.00 	$348.00 
853	"Dengue Virus, Ac. IgM"	0	$300.00 	$348.00 
853	"Virus del Dengue, Ac. IgM"	0	$300.00 	$348.00 
854	Ac. Anti-Cardiolipinas IgG	2	$263.79 	$306.00 
854	"Cardiolipinas IgG, Anticuerpos"	2	$263.79 	$306.00 
855	Ac. Anti-Cardiolipinas IgM	2	$256.03 	$297.00 
855	"Cardiolipinas IgM, Anticuerpos"	2	$256.03 	$297.00 
860	Perfil de Hierro I	0	$166.38 	$193.00 
860	Perfil de Hierro I	0	$166.38 	$193.00 
866	Barbituratos en Orina	0	$143.10 	$166.00 
867	Ac. Anti-Virus Herpes (HSV) Tipo II IgG	1	$182.76 	$212.00 
867	"Herpes (HSV) Tipo II IgG, Anticuerpos"	1	$182.76 	$212.00 
868	Ac. Anti-Virus Herpes (HSV) Tipo II IgM	1	$166.38 	$193.00 
868	"Herpes (HSV) Tipo II IgM, Anticuerpos"	1	$166.38 	$193.00 
872	Gamma Glutamil Transpeptidasa (GGT)	0	$45.69 	$53.00 
872	GGT (Gamma Glutamil Transpeptidasa)	0	$45.69 	$53.00 
874	Ac. Anti-Varicela IgG	10	$362.07 	$420.00 
874	"Varicela IgG, Anticuerpos"	10	$362.07 	$420.00 
876	Fosfatasa Ácida Fracción Prostática	0	$178.45 	$207.00 
879	Ac. Anti-Helicobacter pylori IgM	1	$261.21 	$303.00 
879	"Helicobacter pylori IgM, Anticuerpos"	1	$261.21 	$303.00 
880	CK Total y CK-MB	0	$191.38 	$222.00 
885	Capacidad de fijación de hierro (TIBC)	0	$94.83 	$110.00 
885	TIBC (Capacidad de fijación de hierro)	0	$94.83 	$110.00 
892	Perfil de Colesterol 	0	$130.17 	$151.00 
893	Ac. Anti-Antígeno Virus Hepatitis A IgM	0	$245.69 	$285.00 
893	Ac. Anti-Hepatitis A IgM	0	$245.69 	$285.00 
893	"Hepatitis A, Anticuerpos IgM"	0	$245.69 	$285.00 
894	Ac. Anti-Chlamydia trachomatis IgM	1	$300.00 	$348.00 
894	"Chlamydia trachomatis IgM, Anticuerpos"	1	$300.00 	$348.00 
897	Perfil Hepático II	0	$276.72 	$321.00 
897	Pruebas de Funcionamiento Hepático II	0	$276.72 	$321.00 
903	Ácido hipúrico (Tolueno) en Orina	9	$512.07 	$594.00 
903	Tolueno (Ácido hipúrico) en Orina	9	$512.07 	$594.00 
905	Ac. Anti-SSA (Ro)	1	$252.59 	$293.00 
905	"SSA (Ro), Anticuerpos"	1	$252.59 	$293.00 
906	Ac. Anti-SSB (La)	1	$255.17 	$296.00 
906	"SSB (La), Anticuerpos"	1	$255.17 	$296.00 
912	"Antígeno Específico de Próstata Fracción Libre (APE-L, PSA-L) "	0	$164.66 	$191.00 
912	APE-L (Antígeno Específico de Próstata Fracción Libre) 	0	$164.66 	$191.00 
912	PSA-L (Antígeno Específico de Próstata Fracción Libre) 	0	$164.66 	$191.00 
923	Ac. Anti-Varicela IgM	7	$468.10 	$543.00 
923	"Varicela IgM, Anticuerpos"	7	$468.10 	$543.00 
939	Dehidrotestosterona	4	$346.55 	$402.00 
940	Ac. Anti-Ribonucleoproteínas (RNP)	3	$314.66 	$365.00 
940	"Ribonucleoproteínas (RNP), Anticuerpos"	3	$314.66 	$365.00 
941	Perfil Bioquímico de 24 Elementos 	0	$362.07 	$420.00 
941	Química Sanguínea de 24 Elementos 	0	$362.07 	$420.00 
983	Perfil TORCH IgG	1	$718.97 	$834.00 
983	"TORCH IgG, Perfil"	1	$718.97 	$834.00 
984	Perfil TORCH IgM	1	$737.93 	$856.00 
984	"TORCH IgM, Perfil"	1	$737.93 	$856.00 
985	Perfil de Climaterio Completo	4	$729.31 	$846.00 
987	"Perfil de Drogas de Abuso I (ANF, CAN, COC)"	0	$302.59 	$351.00 
988	"Perfil de Drogas de Abuso II (ANF, CAN, COC, BNZ)"	0	$348.28 	$404.00 
991	"Hepatitis A y B Básico, Perfil de Marcadores"	0	$781.90 	$907.00 
991	Perfil de Marcadores Hepatitis A y B Básico	0	$781.90 	$907.00 
992	"Hepatitis A, B, C y D Básico, Perfil de Marcadores"	2	"$1,085.34 "	"$1,259.00 "
992	"Perfil de Marcadores Hepatitis A, B, C y D Básico"	2	"$1,085.34 "	"$1,259.00 "
994	"Perfil de Drogas de Abuso III (ANF, CAN, COC, BNZ, MOR)"	0	$425.00 	$493.00 
1009	Hormona Estimulante de Tiroides (TSH)	0	$80.17 	$93.00 
1009	Tirotropina (Hormona Estimulante de Tiroides)	0	$80.17 	$93.00 
1009	TSH (Hormona Estimulante de Tiroides)	0	$80.17 	$93.00 
1024	Creatinina en Orina	0	$35.34 	$41.00 
1032	Depuración de Urea	0	$66.38 	$77.00 
1032	"Urea, Depuración de"	0	$66.38 	$77.00 
1083	Cortisol Matutino (7:30 a 10:00h)	0	$112.93 	$131.00 
1085	"Bilirrubinas, Perfil de"	0	$56.90 	$66.00 
1085	Perfil de Bilirrubinas 	0	$56.90 	$66.00 
1105	Antígeno Específico de Próstata + Fracción Libre	0	$270.69 	$314.00 
1111	"Anemia, Perfil de"	0	$470.69 	$546.00 
1111	Perfil de Anemia 	0	$470.69 	$546.00 
1114	Perfil Bioquímico de 4 Elementos	0	$87.93 	$102.00 
1114	Química Sanguínea de 4 Elementos 	0	$87.93 	$102.00 
1115	Perfil Reumático I	0	$353.45 	$410.00 
1117	Testosterona Total + Testosterona Libre	2	$212.93 	$247.00 
1135	Ac. Anti-Beta 2 Glicoproteína IgG	3	$463.79 	$538.00 
1135	"Beta 2 Glicoproteína IgG, Anticuerpos"	3	$463.79 	$538.00 
1136	Ac. Anti-Antígeno e Virus Hepatitis B (Ac. Anti-HBeAg)	1	$275.00 	$319.00 
1136	Ac. Anti-HBeAg	1	$275.00 	$319.00 
1138	"Perfil de Drogas de Abuso IV (ANF, CAN, COC, BNZ, MOR, BAR)"	0	$502.59 	$583.00 
1139	"Hepatitis A, Perfil de Marcadores "	0	$456.90 	$530.00 
1139	Perfil de Marcadores de Hepatitis A	0	$456.90 	$530.00 
1140	"Hepatitis B, Perfil de Marcadores "	1	$917.24 	"$1,064.00 "
1140	Perfil de Marcadores de Hepatitis B	1	$917.24 	"$1,064.00 "
1141	"Hepatitis A y B Completo, Perfil de Marcadores "	1	"$1,210.34 "	"$1,404.00 "
1141	Perfil de Marcadores de Hepatitis A y B Completo	1	"$1,210.34 "	"$1,404.00 "
1142	"Hepatitis A, B y C Completo, Perfil de Marcadores "	1	"$1,437.93 "	"$1,668.00 "
1142	"Perfil de Marcadores de Hepatitis A, B y C Completo"	1	"$1,437.93 "	"$1,668.00 "
1143	"Hepatitis A, B, C y D Completo, Perfil de Marcadores "	2	"$1,689.66 "	"$1,960.00 "
1143	"Perfil de Marcadores de Hepatitis A, B, C y D Completo"	2	"$1,689.66 "	"$1,960.00 "
1152	Ácido Úrico en Orina de 24 horas	0	$35.34 	$41.00 
1171	Perfil Bioquímico de 28 Elementos 	0	$438.79 	$509.00 
1171	Química Sanguínea de 28 Elementos 	0	$438.79 	$509.00 
1172	Perfil Bioquímico de 27 Elementos 	0	$426.72 	$495.00 
1172	Química Sanguínea de 27 Elementos 	0	$426.72 	$495.00 
1173	Perfil de Lupus II	2	"$1,277.59 "	"$1,482.00 "
1176	Perfil Prostático Diagnóstico	0	$403.45 	$468.00 
1180	Perfil Ginecológico Completo	0	$605.17 	$702.00 
1181	Perfil Hipofisiario	3	$715.52 	$830.00 
1183	Perfil Bioquímico de 3 Elementos 	0	$72.41 	$84.00 
1183	Química Sanguínea de 3 Elementos 	0	$72.41 	$84.00 
1184	Perfil Bioquímico de 5 Elementos 	0	$106.90 	$124.00 
1184	Química Sanguínea de 5 Elementos 	0	$106.90 	$124.00 
1185	Perfil Bioquímico de 6 Elementos 	0	$125.86 	$146.00 
1185	Química Sanguínea de 6 Elementos 	0	$125.86 	$146.00 
1186	Perfil Hepático I	0	$175.86 	$204.00 
1186	Pruebas de Funcionamiento Hepático I	0	$175.86 	$204.00 
1188	Perfil Ginecológico Básico	0	$354.31 	$411.00 
1189	Perfil Tiroideo sin Ac. Anti-Tiroideos	0	$231.03 	$268.00 
1190	Perfil Tiroideo IV	0	$198.28 	$230.00 
1199	Perfil Bioquímico de 12 Elementos - Modificado	0	$222.41 	$258.00 
1199	Química Sanguínea de 12 Elementos - Modificada	0	$222.41 	$258.00 
1201	CK-MB (Creatin Fosfoquinasa Fracción MB)	0	$132.76 	$154.00 
1201	Creatin Fosfoquinasa Fracción MB (CK-MB)	0	$132.76 	$154.00 
1205	Fenilalanina (PKU) Neonatal 	3	$115.52 	$134.00 
1205	PKU (Fenilalanina) Neonatal 	3	$115.52 	$134.00 
1217	Perfil de Andrógenos Básico	2	$397.41 	$461.00 
1220	Ac. Anti-Beta 2 Glicoproteína IgM	1	$468.10 	$543.00 
1220	"Beta 2 Glicoproteína IgM, Anticuerpos"	1	$468.10 	$543.00 
1230	Células LE	0	$41.38 	$48.00 
1231	Citología (Papanicolaou) Cérvico-Vaginal sin Foto	3	$137.93 	$160.00 
1231	Papanicolaou (Citología) Cérvico-Vaginal sin Foto	3	$137.93 	$160.00 
1237	Inmunotripsina Reactiva (IRT) Neonatal	3	$125.86 	$146.00 
1237	IRT (Tripsina Inmunoreactiva) Neonatal 	3	$125.86 	$146.00 
1237	Tripsina Inmunoreactiva (IRT) Neonatal	3	$125.86 	$146.00 
1238	Grupo Sanguíneo y Factor Rh (D)	0	$41.38 	$48.00 
1238	Tipificación Sanguínea (Grupo Sanguíneo y Factor Rh(D))	0	$41.38 	$48.00 
1241	Perfil Bioquímico de 2 Elementos 	0	$49.14 	$57.00 
1241	Química Sanguínea de 2 Elementos	0	$49.14 	$57.00 
1243	Ácido Fólico + Vitamina B-12	0	$228.45 	$265.00 
1243	Vitamina B-12 + Ácido Fólico	0	$228.45 	$265.00 
1244	Potasio	0	$40.52 	$47.00 
1245	"Bence Jones, Proteína"	2	$120.69 	$140.00 
1245	Proteína de Bence Jones	2	$120.69 	$140.00 
1246	Colinesterasa	0	$110.34 	$128.00 
1251	Cortisol en Orina de 24 horas	0	$127.59 	$148.00 
1252	Creatinina en Orina de 24 horas	0	$35.34 	$41.00 
1253	Fósforo en Orina de 24 horas	0	$44.83 	$52.00 
1257	Nitrógeno Ureico en Orina	0	$46.55 	$54.00 
1260	Urea en Orina de 24 horas	0	$27.59 	$32.00 
1261	Ac. Heterófilos (Paul Bunnell)	0	$137.07 	$159.00 
